sentiment,text,probs,ga_sentiment,ga_text,ga_probs,ga_num_changes,ga_lev_ratio,ga_flipped_sentiment,ga_percent_change,ga_generations,ga_time_taken
0,well i must say this is probably the worst film i have seen this year  the jokes were extremely crude wasn't expecting it from as pg movierated pg in canada and they weren't funny  with this great cast i at least expected some good acting but i didn't even get that  i am a huge rainn wilson fan and this is the first time i was extremely disappointed by his performance  neither luke wilosn or uma thurman's characters are the least bit likable and i really could have cared less what happened to either of them  i didn't expect this at all as in the past i have really liked other movies by this director six days  seven nights for example this movie was not worth the  it cost me and i strongly encourage you not to see this movie  i guarantee that you will be like me begging for this movie to be over ,0.02577141486108303,1,well i must say this is probably the meanest films i have seen this year the gags were highly crude wasn't expecting it from as pg movierated pg in canada and they weren't funny with this great cast i at least expected some well acting but i didn't even get that i am a huge rainn reynolds fan and this is the premiere time i was extremely disappointed by his fulfilment neither matty wilosn or uma thurman's traits are the least bit likable and i really would have cared least what occurred to or of them i didn't expect this at all as in the elapsed i have really enjoyed other movies by this filmmaker six days seven nights for example this movie was not worth the it cost me and i strongly encourage you not to look this movie i guarantee that you will be adore me beseech for this movie to be over,0.7685383558273315,20,0.8955223880597015,Y,0.13,5,264
1,if christopher nolan had made memento before following  then all of the flaws in following would have been corrected  in memento  nolan constructed the switches in time perfectly  we were able to tell when it was the past  when it's current  etc  however  nolan experimented with it a little  and it just doesn't work  although he had a small budget and couldn't use color which is one way memento worked  it was just too hard to distinguish between time  on the dvd is a feature that allows you to play the scenes in chronological order  i intended to write my review after watching it  so hopefully it would make more sense  but  of course  it wasn't working you can't blame nolan for not coming up with original ideas  a young man  bill jeremy theobald  is bored  so he decides to follow random people on the street  he finds one  cobb alex haw  that particularly interests him  soon  bill becomes friends with cobb and goes with him as he breaks into houses and robs them  then  a saucy young blond lucy russell enters  and the movie becomes even weirder from there the ending of following is one of the most shocking endings i've seen  sure  fight club had an amazing ending  but the way that following's ending played out was amazing  i felt like someone had smacked me on the head and given me a concussion  nolan has a thing for making good endings well  maybe not  i could guess insomnia's from a mile away  and can really construct a great story  following may not be the easiest to follow or look at  but it's such a finely crafted  original story with a shocker ending that you'll probably want to watch all of its minutes again my rating   rated r for language and some violence ,0.7693580985069275,0,if christopher nolan had made memento before following then all of the flaws in following would have been corrected in memento nolan constructed the switches in time perfectly we were able to tell when it was the past when it's current etc however nolan experimented with it a little and it just doesn't work although he had a small budget and couldn't use colors which is one way memento worked it was just too hard to distinguish between time on the dvd is a feature that allows you to playing the scenes in chronological order i intended to write my review after watching it so hopefully it would make more sense but of course it wasn't working you can't blame nolan for not coming up with original ideas a young man bill jeremy theobald is bores so he decides to follow random people on the street he finds one calhoun alex haw that particularly interests him soon bill becomes chums with cobb and goes with him as he breaks into houses and robs them then a saucy young blond lucy russell enters and the movie becomes even weirder from there the ending of following is one of the most alarming endings i've seen sure fight club had an amazing ceases but the way that following's ending played out was astounding i smelled like someone had smacked me on the head and given me a concussion nolan has a thing for making good endings well maybe not i could guess insomnia's from a mile away and can really construct a great story following may not be the easiest to follow or look at but it's such a finely established original story with a shocker ending that you'll probably want to watch all of its minutes again my rating rated r for language and some violence,0.39587557315826416,10,0.966030989272944,Y,0.03,2,107
1,i'm not saying anything new when i say that ray was magnificent  as i proceed to laud this movie i have to mention something that sets it apart from other films  very rarely is a film made entirely by the actor s   ray quite simply was made by jamie foxx  without the wonderful performance of jamie foxx  ray would just be another interesting and informative biopic  i always thought foxx was funny  stemming from his days with in livin' color and the jamie foxx show and i also knew that he was talented  as he used his own show the jamie foxx show to show off his musical talents  but never did i imagine that he could pull off a role like this  i don't know much about acting and what they go through to get into character or other things like that  but what i saw from jamie foxx was extremely impressive  he wrapped himself into that role and made us see ray charles rather than an actor portraying ray charles  the story of ray was great yes  but it was given life by jamie foxx ,0.8079519271850586,0,i'm not saying somethings newer when i say that ray was magnificent as i proceed to laud this movie i have to mention something that sets it apart from other films very rarely is a film made entirely by the actor s rays very simply was made by jamie foxx without the wonderful performance of jamie foxx ray would just be another interesting and informative biopic i always thought foxx was funny stemming from his days with in livin' color and the jamie foxx show and i additionally knew that he was talented as he used his own show the jamie foxx show to show off his musical talents but never did i imagine that he could pull off a role like this i don't soaps much about acting and what they go through to get into character or other things like that but what i saw from jamie renard was extremely impressive he wrapped himself into that role and made us see ray charles rather than an actor outlining gleam charles the stories of ray was great yes but it was given life by jamie foxx,0.4265624284744263,10,0.95841784989858,Y,0.05,2,106
0,i have been watching lost with my family since the first episode  it used to be great  the last season it was very disappointing  it seems as if they  writers don't know what to do with the show  so  they keep trying to make it up for it by stretching one story line in a whole episode  the present season  which by the way i decided to keep watching only to see rodrigo santoro  and also with a tiny little hope that things would get better  has been one disappointment after another  my husband and son even stopped watching  first of all  he  santoro  only appears for seconds in each episode  but the real problem is with the story line  there is nothing really happening  each episode could be shown in minutes  we watch each episode waiting for something that never happens  i am not asking that every secret be revealed at once  but how about some variation in the story lines  in the first and second seasons  we had different story lines  we saw the characters history  a little action  a little romance  now is like one big event that takes the whole episode to unveil  it is almost tiring to watch it  when it finishes you have a feeling that you lost your time  now  it is important to note that the actors still great i can't believe they killed mr  ekoadelawale  he was great  jackmathew foxis still incredible  the perfect hero  so kind  magnanimous  brave  sawyerjosh holloway  the bad boy is kind of mellowing because of kateevangeline lylli  but that's cool  i miss sayidnaveen andrews  sun and jinyoonjin kim  daniel dae kim  they are all an important part of the plot or should be  but we barely see them  i hope paulorodrigo santoro will have a big part on the show  if not  why did you make such a big deal of him joining the show access hollywood  etc  sorry if i've been rumbling for too long  but i feel cheated by this show  when i started watching it was great  i got used to it  and now it is very disappointing to see the way it is going  i'll be here  hoping for the improvements  katia,0.4760232865810394,1,i have been watching lost with my family since the first episode it used to be great the last season it was very disappointing it seems as if they writers don't know what to do with the show so they keep trying to make it up for it by stretching one story line in a whole episode the present season which by the way i decided to keep watching only to see rodrigo santoro and also with a tiny little hope that things would get better has been one disillusionment after another my husband and son even stopped watching first of all he santoro only appears for seconds in each episode but the real problem is with the story line there is nothing truly happening each episode could be shown in minutes we watch each episode waiting for something that never happens i am not asking that every secret be revealed at once but how about some variation in the story lines in the first and second seasons we had different story lines we watched the character history a little action a little romance now is like one big event that takes the whole episode to unveil it is almost tiring to watch it when it finishes you have a feeling that you lost your times now it is important to note that the actors still great i can't believe they killed mr ekoadelawale he was great jackmathew foxis still incredible the perfect hero so kind magnanimous brave sawyerjosh holloway the bad boy is kind of mellowing because of kateevangeline lylli but that's cool i miss sayidnaveen andrews sun and jinyoonjin kim daniel dae kim they are all an important part of the plot or should be but we barely see them i hope paulorodrigo santoro will have a big part on the show if not why did you make such a big deal of him joining the show access hollywood etc sorry if i've been rumbling for too long but i feel cheated by this show when i started watching it was great i got used to it and now it is very disappointing to see the way it is going i'll be here hoping for the improvements katia,0.6372390389442444,5,0.9788838612368024,Y,0.01,1,53
1,caught this flick as one of a fivefor deal from a local video store  and it was a most pleasant surprise  it's a collection of four interrelated tales built around four kids who've just had a car wreck and are waiting for someone to pick them up  they tell each other these stories to kill time  and are occasionally startled by flashing lights and funny noises which all come together in an o  henryesque ending that left me gleeful  a real discovery  blood and plenty of it  breasts and beasts round it all out rather nicely  jacinda barrett is worth the price of admission alone  this one is a keeperjim bob says check it out oddly enough  pumpkinhead was one of our five choices too  and imdb recommends that for anyone who likes campfire tales i'll followup as soon as i get a chance to sit down and watch that one  joyeux samhain ,0.9428611397743224,0,caught this flick as anyone of a fivefor addressing from a local video store and it was a most pleasant surprise it's a collection of four interrelated tales constructed around skillet youngsters who've just had a car wreck and are waiting for anybody to pick them up they say each other these tale to murder timeframe and are intermittently startled by flicker lights and droll noises which all come jointly in an o henryesque ending that leaving me maniacal a genuine discovery chrissakes and plenty of it breasts and beasts round it all out comparatively nicely jacinda exmrs is pity the cost of admission alone this one is a keeperjim bob says checked it out oddly enough exmrs was anyone of our five choice too and imdb recommends that for anyone who likes campfire tales i'll followup as quickly as i obtains a opportunity to sit down and watch that one joyeux samhain,0.2948127090930939,29,0.8362573099415205,Y,0.19,5,256
0,this movie is sad  according to my fellow imdb users  spoiler raptor uses stock footage from the carnotaur films  well  since i have not seen the carnotaur movies  i cannot say  but  i do notice some pretty bad editing and even worse acting  this movie is one big steaming pile of s it makes absolutely no sense  here is this thing that calls itself a plot  mad scientist recreates raptors  raptors kill people  sheriff investigates  spoiler although i don't know what it is that i'm spoiling sheriff catches on to mad doctor's plans  army guys are sent in and raptors start killing army guys  raptors  yeah  right  i could make a clay figure that looks more real  the fx are the cheapest ever used in a movie  there is a lot of gore  cheap gore  it doesn't even look real  i will agree with another person who rated this movie that the only thing this movie has going for it is the fact that it ends  there are about two seconds of originality in this film  and that only comes from when the sheriff is talking to some tax agent on the phone about his electric bill or something  this idea has been used in about other movies with different names  overall  i'm gonna give raptor  just because it ended ,0.007910426706075668,1,this movie is unfortunate conformity to my coworkers imdb users spoiler ghouls uses inventory sequences from the carnotaur films well because i have not seen the carnotaur film i sizeable said but i do notices some pretty amiss edited and even roughest acting this movie is one big simmering heaps of s it makes totally no detecting here is this thing that invites itself a plot demented scientists recreates falcon raptors kill villagers marshal investigates spoiler although i don't soaps what it is that i'm wrecking sheriff catches on to mad doctor's systems forces blokes are forwarded in and raptors start murder solider guys raptors yup right i could doing a vase figures that looks more real the explainable are the cheapest perpetually used in a movie there is a lots of gore cheaply valli it doesn't even listens true i will concur with another anyone who ranked this movie that the only thing this film has go for it is the fact that it end there are about ii secondly of uniqueness in this film and that only comes from when the marshal is conversations to some taxing officers on the phone about his elektra bills or somethin this brainchild has been utilizing in about other movies with various name overall i'm gonna allow goons just because it ended,0.5827938318252563,65,0.786871961102107,N,0.3,20,1073
1,as an animated film from this is pretty goodgenerally well above the standard of the days when disney hadn't done anything good in years and tolkien cared little for disney anyway  it gets major points for innovative and careful camera work  applying cinematic techniques with relative success  the muchmaligned rotoscoping actually works pretty well  especially with the ringwraiths  and the opening narration  however  it is so drastically overusedpossibly as a moneysaving techniquethat it detracts from the overall effect  the same technique that makes wraiths spooky and otherworldly doesn't fare so well in the prancing pony as for the adaptation of the story  it's actually quite good  we lose little bits here and there  minor details such as the old forest and tom bombadil  the gaffer and the sackvillebagginses  we compress a few characters  such as revising legolas as one of elrond's household and an old friend of aragorn's  but that's a rather wise decision for film  in books you have room to include the references to the larger world of the elves and middleearth's vast history  in film  you trade that for visuals and sound that convey the same elements in a different way  nothing critical is truly lost here  and although i have minor quibbles about some of the changes  i'm generally pretty happy with it if only the dratted writers had managed to remember saruman's namehe's frequently referred to as aruman  a decision probably made to make him more distinct from similarlynamed sauron  it took me a second viewing before i was certain i hadn't misheard it  it's also annoying that boromir is a bloody stage viking  and irritable from the start  however  gandalf is excellent  and most of the rest of the voicework is excellent  if only john hurt weren't too old to play aragorn  i love his voice of course  with the film ending at the midpoint of the story  there's a vast disappointment built in  what makes it far  far worse is the altogether miserable job done by the rankin  bass crew on the sequel  that they were permitted to do return of the king after butchering the hobbit remains a huge mystery  they seem more interested in bad songs than in proper storytelling  for all its faults  this film's heart is solidly in place and it tries very hard to accomplish a nearly impossible task  i can only hope that the upcoming series of films keeps as true to its vision  ,0.9810193181037904,0,as an animated film from this is pretty goodgenerally well above the standard of the day when disney hadn't done anything good in years and tolkien cared meagre for disney writ it obtains momentous points for innovative and careful camera work applying cinematographic techniques with relative succeeded the muchmaligned rotoscoping actually cooperate pretty well especially with the ringwraiths and the opening descriptive however it is so drastically overusedpossibly as a moneysaving techniquethat it detracts from the overall impacts the same technique that is wraiths frightful and unearthly doesn't fare so bah in the prancing pony as for the adaptation of the story it's indeed rather good we wasting little shards here and there minor details such as the old forest and tom bombadil the equates and the sackvillebagginses we compress a few characters such as revising legolas as one of elrond's household and an old friend of aragorn's but that's a rather wise decision for film in books you have room to include the references to the larger globe of the elves and middleearth's vast stories in film you trade that for visuals and audible that convey the same elements in a dissimilar path nothing critical is really lost here and although i have minor quibbles about some of the changes i'm generally belle happy with it if only the dratted screenwriters had managed to remember saruman's namehe's frequently referred to as aruman a decisions probably made to make him more distinct from similarlynamed sauron it took me a second visualizing before i was certain i hadn't misheard it it's besides irritating that boromir is a bloody stage viking and irritable from the start however gandalf is marvellous and most of the rest of the voicework is marvellous if only jon hurt weren't too old to play aragorn i love his voice of course with the film ending at the midpoint of the story there's a vast disappointment built in what does it far far worse is the altogether miserable jobs effected by the rankin catfish crews on the sequel that they were permitted to do return of the king after butchering the hobbit remains a huge mystery they seem more interested in bad songs than in proper conte for all its faults this film's heart is powerfully in place and it tries very hard to accomplish a nearly impossible chores i can only expectancy that the upcoming series of films keeps as true to its vision,0.4704085886478424,43,0.9195258889582034,Y,0.11,10,532
0,it must say something about the state of our nation that this programme is one of the most popular currently screened  the 'square' is peopled by such a miserable  untrustworthy  amoral  spiteful  unrelentingly dour group of characters as can be imagined  everyone is stabbing someone in the back  everyone is attempting to commit adultery  everyone is trying to cheat someone  that  or they are being stabbed  cuckolded or swindled  nobody is cheerful  nobody laughs  nobody has a blinding stroke of luck or a really nice day  it's hell  with cockney accents i suspect this programme must be sponsored by the samaritans  it's perfect viewing for the depressed  it doesn't cheer them up  what it does do is present a whole community of such terminally despondent sadarses that viewers are moved to believe their lot really could be worse  they might be living in 'albert square'apart from the above  as a representation of london's east end  it is pure hokum  the programmemakers have evidently never been across town  the first thing you encounter on the mile end road is a colossal mosque  and this prettywell defines the racial majority of the population  white british londoners are a dispersed and rapidly diminishing minority  a large advertisement hoarding presently near the bow road flyover  and sponsored by tower hamlets health care boasts that 'eight out of ten members of the community can now see their doctor more quickly' ten healthy  smiling faces beam down at the observer in confirmation  eight of them are darkskinned  what's more  i used to work with a bunch of anglosaxon  dare i say 'pukka'  cockneys a few years ago  and i can tell you that a more obnoxiously racist experience i've never had  each day was like an oswald moseley rally  they couldn't pass minutes without denigrating some other race or nationality than their own  and in terms that were repulsive and obscene  'fackin' pakis' and 'fackin' maceroons' were the small change of conversation  in fact their entire and extremely limited stock of adjectives fixated upon sexorgans and their application  alf garnett was a paragon of liberal virtue in comparison any programme that purported to represent london's native eastend caucasians in their true nature would be completely unfit for broadcast  even after the oclock watershed  imagine a ku klux klan script written by quentin tarantino and you'd be somewhere near the mark  but when they weren't being inveterate bigots they were at least extremely cheerful i don't know how such a soapopera came to be  this imaginary castaway island of white misery has absolutely no bearing upon real culture whatsoever  and if you're of a comparatively sanguine disposition  it will quickly reduce you to tears of grief  comparatively ordinary actors pretending to be comparatively ordinary chronicdepressives with cockney accents  what's the point of that dull  dreary  unrelentingly disillusional  and ethnically preposterous  the most popular programme of an apparently diseased and dying nation avoid it like the plague ,0.05036283656954765,1,it must say somethin about the state of our nation that this programme is one of the most popular now screened the 'square' is manned by such a miserable unreliable indecent spiteful unrelentingly pessimistic group of characters as can be imagined everyone is stabbing someone in the back everyone is attempting to commit adultery anybody is trying to cheat someone that or they are being stabbed cuckolded or swindled nobody is cheerful nobody laughs nobody has a blinding dryly of luck or a really delightful day it's hell with cockney connotations i suspect this programme must be sponsored by the equates it's perfect visualization for the depressed it doesn't cheer them up what it does do is present a totality union of such terminally despondent sadarses that onlookers are moved to believe their lot truly could be worse they might be living in 'albert square'apart from the above as a representation of london's oriental end it is pure hokum the programmemakers have evidently never been across town the first thing you encounter on the mile end road is a colossal mosque and this prettywell defines the racial majority of the demographic white british londoners are a dispersed and rapidly diminishing minority a large advertisement hoarding presently near the bow road catwalk and sponsored by tower everchanging health empathetic boasts that 'eight out of ten members of the community can now see their doctor more quickly' ten healthy smiling confronting beam down at the observer in confirmation eight of them are darkskinned what's more i used to work with a bunch of anglosaxon dare i said 'pukka' cockneys a few years ago and i can telling you that a more obnoxiously ethnic experiences i've never had each day was loves an oswald moseley rally they couldn't pass minutes not denigrating some other race or nationality than their own and in terms that were repulsive and obscene 'fackin' pakis' and 'fackin' maceroons' were the small change of conversation in fact their entire and extremely limited stock of adjectives fixated upon sexorgans and their application alf garnett was a paragon of liberal virtue in comparison any programs that purported to representing london's native eastend caucasians in their veritable nature would be completely unfit for broadcast yet after the oclock watershed presume a ku klux lynching script written by quentin tarantino and you'd be somewhere near the mark but when they weren't being inveterate bigots they were at least extremely cheerful i don't know how such a soapopera came to be this imaginary castaway island of bianchi misery has absolutely no bearing upon real culture whatsoever and if you're of a comparatively sanguine disposition it will quickly reduce you to tears of sorrow comparatively ordinary actors pretending to be comparatively usual chronicdepressives with cockney accents what's the point of that dull dreary unrelentingly disillusional and ethnically preposterous the most trendy programme of an apparently diseased and dying nations avoid it like the plague,0.5052801370620728,39,0.9353674540682416,Y,0.08,9,462
0,whoa  this is one of the worst movies i have ever seen  the packaging for the film is better than the film itself  my girlfriend and i watched it this past weekend  and we only continued to watch it in the hopes that it would get better  it didn't  the picture quality is poor  it looks like it was shot on video and transferred to film  the lighting is not great  which makes it harder to read the actors' facial expressions  the acting itself was cheesy  but i guess it's acceptable for yet another teenage horror flick  the sound was a huge problem  sometimes you have to rewind the video because the sound is unclear and  or muffled it holds no real merit of it's own  trying to ride on the coattails of sleepy hollow  don't bother with this one ,0.002802524250000716,1,whoa this is one of the roughest movies i have always viewed the packages for the films is finest than the films itself my girlfriend and i watched it this elapsed weekend and we only uninterrupted to observational it in the hopes that it did got better it didn't the picture qualification is dispossessed it expects loved it was offed on video and moved to movies the lit is not great which does it harder to read the actors' confronts protesting the interim itself was corny but i reckon it's palatable for yet latest teen terror filmmaking the sounds was a huge difficulties occasionally you have to setback the videotape because the audio is unclear and or muffled it retains no actual deserved of it's own trying to ride on the coattails of sleepy emptiness don't bother with this one,0.5848064422607422,41,0.7810266406757634,N,0.29,12,641
1,not a film of entertainment  but of real lives  limited ambition for the working class in 's  enjoyable because of my upbringing  not sure it'd work for most people  typical loach  full of tv actors  actresses of 's  's  's ,0.8586663007736206,0,not a film of recreation but of veritable inhabits scant ambition for the work class in 's enjoyable because of my upbringing not secure it'd jobs for most people normal loach utter of telly actors actors of 's 's 's,0.1774769425392151,11,0.8045454545454546,N,0.28,2,97
